"filename", "language", "JSON", "HTML", "PostCSS", "JavaScript", "PHP", "YAML", "Shell Script", "Markdown", "XML", "Docker", "comment", "blank", "total"
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.github\actions\build-docs\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 6
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 2, 21
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.github\workflows\docs.yaml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.github\workflows\scorecards.yml", "YAML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 15, 10, 62
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.github\workflows\tests.yml", "YAML", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 31, 34, 238
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\.phan\config.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 23, 6, 42
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 64, 233
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19, 38
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\SMTPUTF8.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 22, 49
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\UPGRADING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 27, 126
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\changelog.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 976, 0, 0, 0, 129, 1105
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\composer.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\docs\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\examples\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 44, 97
